"indicator","year","value","population_group","unit","disease","sex"
"crude_mortality",2016,90.54,"rural","per 100,000 population","respiratory_diseases","male"
"crude_mortality",2021,119.11,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2020,115.51,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2019,113.78,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2018,112.71,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2017,111.06,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2016,110.45,"rural","per 100,000 population","malignant_neoplasms","female"
"crude_mortality",2021,22.83,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2020,20.52,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2019,19.52,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2018,18.72,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2017,18.24,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2016,17.61,"rural","per 100,000 population","endocrine_nutritional_metabolic_diseases","female"
"crude_mortality",2021,184.93,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2020,167.74,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2019,161.59,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2018,158.1,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2017,150.81,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2016,148.17,"rural","per 100,000 population","heart_disease","female"
"crude_mortality",2021,158.06,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2020,147.34,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2019,141.54,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2018,143.73,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2017,140.4,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2016,141.84,"rural","per 100,000 population","cerebrovascular_disease","female"
"crude_mortality",2021,52.27,"rural","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2020,52.38,"rural","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2019,63.47,"rural","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2018,67.13,"rural","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2017,68.62,"rural","per 100,000 population","respiratory_diseases","female"
"crude_mortality",2016,72.54,"rural","per 100,000 population","respiratory_diseases","female"
